X1,X2
0.0,0.0
0.11111111,0.0
0.22222222,0.0
0.33333334,0.0
0.44444445,0.0
0.5555556,0.0
0.6666667,0.0
0.7777778,0.0
0.8888889,0.0
1.0,0.0
0.0,0.11111111
0.11111111,0.11111111
0.22222222,0.11111111
0.33333334,0.11111111
0.44444445,0.11111111
0.5555556,0.11111111
0.6666667,0.11111111
0.7777778,0.11111111
0.8888889,0.11111111
1.0,0.11111111
0.0,0.22222222
0.11111111,0.22222222
0.22222222,0.22222222
0.33333334,0.22222222
0.44444445,0.22222222
0.5555556,0.22222222
0.6666667,0.22222222
0.7777778,0.22222222
0.8888889,0.22222222
1.0,0.22222222
0.0,0.33333334
0.11111111,0.33333334
0.22222222,0.33333334
0.33333334,0.33333334
0.44444445,0.33333334
0.5555556,0.33333334
0.6666667,0.33333334
0.7777778,0.33333334
0.8888889,0.33333334
1.0,0.33333334
0.0,0.44444445
0.11111111,0.44444445
0.22222222,0.44444445
0.33333334,0.44444445
0.44444445,0.44444445
0.5555556,0.44444445
0.6666667,0.44444445
0.7777778,0.44444445
0.8888889,0.44444445
1.0,0.44444445
0.0,0.5555556
0.11111111,0.5555556
0.22222222,0.5555556
0.33333334,0.5555556
0.44444445,0.5555556
0.5555556,0.5555556
0.6666667,0.5555556
0.7777778,0.5555556
0.8888889,0.5555556
1.0,0.5555556
0.0,0.6666667
0.11111111,0.6666667
0.22222222,0.6666667
0.33333334,0.6666667
0.44444445,0.6666667
0.5555556,0.6666667
0.6666667,0.6666667
0.7777778,0.6666667
0.8888889,0.6666667
1.0,0.6666667
0.0,0.7777778
0.11111111,0.7777778
0.22222222,0.7777778
0.33333334,0.7777778
0.44444445,0.7777778
0.5555556,0.7777778
0.6666667,0.7777778
0.7777778,0.7777778
0.8888889,0.7777778
1.0,0.7777778
0.0,0.8888889
0.11111111,0.8888889
0.22222222,0.8888889
0.33333334,0.8888889
0.44444445,0.8888889
0.5555556,0.8888889
0.6666667,0.8888889
0.7777778,0.8888889
0.8888889,0.8888889
1.0,0.8888889
0.0,1.0
0.11111111,1.0
0.22222222,1.0
0.33333334,1.0
0.44444445,1.0
0.5555556,1.0
0.6666667,1.0
0.7777778,1.0
0.8888889,1.0
1.0,1.0
